z	n	A	E2+	err
2	2	4	27420	0
2	4	6	1797	25
2	6	8	3.10E+03	5
2	8	10	3.24E+03	20
4	2	6	1670	50
4	4	8	3030	10
4	6	10	3368.03	3
4	8	12	2109	1
6	4	10	3353.7	6
6	6	12	4439.82	21
6	8	14	7012	4
6	10	16	1766	10
6	12	18	1588	8
6	14	20	1618	11
8	4	12	1968	52
8	6	14	6590	10
8	8	16	6917.1	6
8	10	18	1982.07	9
8	12	20	1673.68	15
8	14	22	3199	8
8	16	24	4.79E+03	11
8	18	26	1277	96
10	6	16	1.77E+03	3
10	8	18	1887.3	2
10	10	20	1633.674	15
10	12	22	1274.537	7
10	14	24	1981.6	4
10	16	26	2018	3
10	18	28	1304	3
10	20	30	792	4
10	22	32	722	9
12	8	20	1598	10
12	10	22	1247.02	3
12	12	24	1368.672	5
12	14	26	1808.74	4
12	16	28	1473.54	10
12	18	30	1482.8	3
12	20	32	885.3	1
12	22	34	660	7
12	24	36	662	5
12	26	38	656	6
12	28	40	500	14
14	10	24	1879	11
14	12	26	1797.3	10
14	14	28	1779.03	11
14	16	30	2235.322	18
14	18	32	1941.4	3
14	20	34	3327.14	20
14	22	36	1408	10
14	24	38	1074	2
14	26	40	986	5
14	28	42	742	8
16	12	28	1507	7
16	14	30	2210.6	5
16	16	32	2230.57	15
16	18	34	2127.564	13
16	20	36	3290.9	3
16	22	38	1292.02	20
16	24	40	903.69	7
16	26	42	903	5
16	28	44	1329	5
16	30	46	952	8
18	12	30	7.00E+02	0
18	14	32	1867	8
18	16	34	2091.1	3
18	18	36	1970.38	5
18	20	38	2167.472	12
18	22	40	1460.849	5
18	24	42	1208.22	13
18	26	44	1157.97	11
18	28	46	1577	1
18	30	48	1039	6
18	32	50	1178	18
18	34	52	1656	18
20	16	36	3045	24
20	18	38	2213.2	10
20	20	40	3904.38	3
20	22	42	1524.71	3
20	24	44	1157.019	4
20	26	46	1346	3
20	28	48	3831.96	22
20	30	50	1026.72	10
20	32	52	2563	1
20	34	54	2043	19
20	38	58	1115	34
22	20	42	1554.6	3
22	22	44	1083.06	9
22	24	46	889.286	3
22	26	48	983.531	4
22	28	50	1553.794	8
22	30	52	1050.06	9
22	32	54	1494.8	8
22	34	56	1128.2	4
22	36	58	1047	4
22	38	60	850	5
24	22	46	892.16	10
24	24	48	752.16	13
24	26	50	783.31	10
24	28	52	1434.091	14
24	30	54	834.855	3
24	32	56	1006.61	20
24	34	58	880.7	2
24	36	60	643.9	20
24	38	62	446	1
24	40	64	429	2
24	42	66	386	10
26	22	48	969.5	5
26	24	50	764.9	3
26	26	52	849.45	10
26	28	54	1408.19	19
26	30	56	846.7778	19
26	32	58	810.7662	20
26	34	60	823.83	9
26	36	62	877.31	10
26	38	64	746.4	1
26	40	66	574.4	10
26	42	68	522	10
26	44	70	480	13
28	24	52	1397	6
28	26	54	1392.3	4
28	28	56	2700.6	7
28	30	58	1454.21	9
28	32	60	1332.514	4
28	34	62	1172.98	10
28	36	64	1345.777	23
28	38	66	1424.8	10
28	40	68	2034.08	16
28	42	70	1259.55	5
28	44	72	1096	20
28	46	74	1024	1
28	48	76	992	2
28	50	78	2600	33
30	28	58	1356	3
30	30	60	1003.9	20
30	32	62	953.84	9
30	34	64	991.54	5
30	36	66	1039.2279	21
30	38	68	1077.37	4
30	40	70	884.92	8
30	42	72	652.7	5
30	44	74	605.9	8
30	46	76	598.68	10
30	48	78	730.2	4
30	50	80	1492	1
30	52	82	618	15
32	32	64	901.7	3
32	34	66	956.94	8
32	36	68	1015.81	8
32	38	70	1039.506	9
32	40	72	834.011	19
32	42	74	595.85	6
32	44	76	562.93	3
32	46	78	619.36	12
32	48	80	659.15	4
32	50	82	1348.3	1
32	52	84	624.3	7
32	54	86	527	0
34	32	66	929	7
34	34	68	853.75	21
34	36	70	944.52	5
34	38	72	862.07	8
34	40	74	634.74	6
34	42	76	559.102	5
34	44	78	613.727	3
34	46	80	666.27	7
34	48	82	654.71	16
34	50	84	1454.55	8
34	52	86	704.3	5
34	56	90	547	8
36	36	72	709.72	14
36	38	74	455.61	10
36	40	76	423.96	7
36	42	78	455.033	23
36	44	80	616.6	10
36	46	82	776.526	8
36	48	84	881.615	3
36	50	86	1564.61	7
36	52	88	775.32	4
36	54	90	707.12	5
36	56	92	769.1	5
36	58	94	665.5	0
36	62	98	329	7
36	64	100	309	10
38	36	74	471	1
38	38	76	262.3	2
38	40	78	277.6	10
38	42	80	385.88	8
38	44	82	573.54	8
38	46	84	793.22	6
38	48	86	1076.68	4
38	50	88	1836.09	8
38	52	90	831.68	4
38	54	92	814.98	3
38	56	94	836.9	1
38	58	96	814.93	7
38	60	98	144.7	5
38	62	100	129.18	9
38	64	102	126	2
40	40	80	288.9	2
40	42	82	407	10
40	44	84	539.92	9
40	46	86	751.75	3
40	48	88	1057.03	4
40	50	90	2186.273	14
40	52	92	934.51	4
40	54	94	918.75	5
40	56	96	1750.497	15
40	58	98	1222.91	5
40	60	100	212.61	4
40	62	102	151.78	11
40	64	104	139.3	3
40	66	106	152.1	5
40	68	108	174.3	5
42	42	84	443.9	2
42	44	86	566.6	4
42	46	88	740.54	4
42	48	90	948.02	9
42	50	92	1509.51	3
42	52	94	871.098	16
42	54	96	778.237	10
42	56	98	787.384	17
42	58	100	535.59	4
42	60	102	296.61	4
42	62	104	192.19	9
42	64	106	171.549	8
42	66	108	192.79	15
42	68	110	213.77	10
44	44	88	616.2	5
44	46	90	738.1	10
44	48	92	865.7	1
44	50	94	1430.71	20
44	52	96	832.56	5
44	54	98	652.46	5
44	56	100	539.5103	20
44	58	102	475.0962	10
44	60	104	358.02	7
44	62	106	270.07	4
44	64	108	242.23	4
44	66	110	240.73	8
44	68	112	236.69	16
44	70	114	265.19	17
44	72	116	292.43	21
44	74	118	327.6	3
46	46	92	873.6	2
46	48	94	813.8	10
46	50	96	1415.31	10
46	52	98	862.69	11
46	54	100	665.49	10
46	56	102	556.44	5
46	58	104	555.81	4
46	60	106	511.85	23
46	62	108	433.938	4
46	64	110	373.8	7
46	66	112	348.66	13
46	68	114	332.61	10
46	70	116	340.26	8
46	72	118	378.6	1
46	74	120	438	10
46	76	122	499	9
46	78	124	590	11
46	80	126	693.3	5
46	82	128	1311.4	5
48	50	98	1395.1	2
48	52	100	1004.11	10
48	54	102	776.55	14
48	56	104	658	20
48	58	106	632.64	4
48	60	108	632.988	15
48	62	110	657.7623	11
48	64	112	617.518	3
48	66	114	558.456	2
48	68	116	513.49	15
48	70	118	487.77	8
48	72	120	505.94	17
48	74	122	569.45	8
48	76	124	612.8	4
48	78	126	651.96	10
48	80	128	645.8	20
48	82	130	1325	1
48	84	132	618	8
50	52	102	1472	0
50	54	104	1260.1	3
50	56	106	1207.7	5
50	58	108	1206.07	10
50	60	110	1212.02	9
50	62	112	1256.69	4
50	64	114	1299.907	7
50	66	116	1293.56	8
50	68	118	1229.666	16
50	70	120	1171.265	15
50	72	122	1140.51	3
50	74	124	1131.739	17
50	76	126	1141.15	4
50	78	128	1168.82	4
50	80	130	1221.26	5
50	82	132	4041.2	15
50	84	134	725.6	0
50	86	136	688	1
50	88	138	715	1
52	54	106	664.8	3
52	56	108	625.2	20
52	58	110	657.2	3
52	60	112	689	20
52	62	114	708.74	15
52	64	116	678.92	3
52	66	118	605.706	20
52	68	120	560.438	20
52	70	122	564.094	16
52	72	124	602.7271	21
52	74	126	666.338	9
52	76	128	743.216	17
52	78	130	839.494	17
52	80	132	974.22	9
52	82	134	1279.11	10
52	84	136	606.64	5
52	86	138	460.8	5
52	88	140	422.9	3
54	56	110	469.7	20
54	58	112	466	20
54	60	114	450.08	19
54	62	116	393.6	2
54	64	118	337.32	13
54	66	120	322.61	4
54	68	122	331.28	7
54	70	124	354.03	4
54	72	126	388.632	9
54	74	128	442.911	9
54	76	130	536.068	6
54	78	132	667.715	2
54	80	134	847.041	23
54	82	136	1313.06	7
54	84	138	588.826	18
54	86	140	376.658	15
54	88	142	287.2	20
54	90	144	252.6	0
56	62	118	194	0
56	64	120	186	10
56	66	122	195.9	20
56	68	124	229.91	10
56	70	126	256.02	6
56	72	128	284	8
56	74	130	357.38	8
56	76	132	464.508	12
56	78	134	604.7223	19
56	80	136	818.522	10
56	82	138	1435.805	10
56	84	140	602.37	3
56	86	142	359.596	14
56	88	144	199.326	6
56	90	146	181.04	5
56	92	148	141.8	1
58	64	122	136.4	5
58	66	124	141.9	20
58	68	126	169.59	3
58	70	128	207.09	18
58	72	130	253.85	16
58	74	132	325.34	8
58	76	134	409.2	10
58	78	136	552.05	13
58	80	138	788.744	8
58	82	140	1596.233	23
58	84	142	641.282	9
58	86	144	397.441	9
58	88	146	258.45	4
58	90	148	158.467	5
58	92	150	97	10
58	94	152	81.2	5
60	68	128	133.66	7
60	70	130	159.05	14
60	72	132	213.16	12
60	74	134	294.17	16
60	76	136	373.75	16
60	78	138	520.75	17
60	80	140	773.65	6
60	82	142	1575.78	10
60	84	144	696.561	10
60	86	146	453.84	3
60	88	148	301.705	16
60	90	150	130.21	7
60	92	152	72.4	5
60	94	154	70.8	1
60	96	156	67.2	2
60	98	158	65.9	10
60	100	160	65.2	5
62	68	130	122	3
62	70	132	131	1
62	72	134	163	0
62	74	136	254.92	16
62	76	138	346.71	16
62	78	140	530.68	10
62	80	142	768.08	19
62	82	144	1660.027	10
62	84	146	747.174	11
62	86	148	550.255	8
62	88	150	333.955	10
62	90	152	121.7818	3
62	92	154	81.981	15
62	94	156	75.89	5
62	96	158	72.8	10
62	98	160	70.8	20
62	102	164	69	1
64	70	134	115	0
64	74	138	220.86	18
64	76	140	328.6	3
64	78	142	515.2	8
64	80	144	743	17
64	82	146	1972.02	7
64	84	148	784.433	15
64	86	150	638.045	14
64	88	152	344.279	12
64	90	154	123.0709	9
64	92	156	88.97	1
64	94	158	79.5143	15
64	96	160	75.263	9
64	98	162	71.6	0
64	100	164	73.27	5
64	102	166	70	10
66	74	140	202.2	20
66	76	142	315.9	4
66	78	144	492.5	3
66	80	146	682.62	18
