z	n	A	E2+            err
2          2          4         100.00000000         100.00000000
2          4          6         100.00000000         100.00000000
2          6          8         100.00000000         100.00000000
2          8         10         100.00000000         100.00000000
2         10         12         100.00000000         100.00000000
2         12         14         100.00000000         100.00000000
2         14         16         100.00000000         100.00000000
2         16         18         100.00000000         100.00000000
4          2          6         100.00000000         100.00000000
4          4          8         100.00000000         100.00000000
4          6         10         100.00000000         100.00000000
4          8         12         100.00000000         100.00000000
4         10         14         100.00000000         100.00000000
4         12         16         100.00000000         100.00000000
4         14         18         100.00000000         100.00000000
4         16         20         100.00000000         100.00000000
6          2          8         100.00000000         100.00000000
6          4         10         100.00000000         100.00000000
6          6         12         100.00000000         100.00000000
6          8         14         100.00000000         100.00000000
6         10         16         100.00000000         100.00000000
6         12         18         100.00000000         100.00000000
6         14         20         100.00000000         100.00000000
6         16         22         100.00000000         100.00000000
6         18         24         100.00000000         100.00000000
6         20         26         100.00000000         100.00000000
6         22         28         100.00000000         100.00000000
8          2         10         100.00000000         100.00000000
8          4         12         100.00000000         100.00000000
8          6         14         100.00000000         100.00000000
8          8         16         100.00000000         100.00000000
8         10         18         100.00000000         100.00000000
8         12         20         100.00000000         100.00000000
8         14         22         100.00000000         100.00000000
8         16         24         100.00000000         100.00000000
8         18         26         100.00000000         100.00000000
8         20         28         100.00000000         100.00000000
8         22         30         100.00000000         100.00000000
8         24         32         100.00000000         100.00000000
8         26         34         100.00000000         100.00000000
10          2         12         100.00000000         100.00000000
10          4         14         100.00000000         100.00000000
10          6         16         100.00000000         100.00000000
10          8         18         100.00000000         100.00000000
10         10         20         100.00000000         100.00000000
10         12         22         100.00000000         100.00000000
10         14         24         100.00000000         100.00000000
10         16         26         100.00000000         100.00000000
10         18         28         100.00000000         100.00000000
10         20         30         100.00000000         100.00000000
10         22         32         100.00000000         100.00000000
10         24         34         100.00000000         100.00000000
10         26         36         100.00000000         100.00000000
10         28         38         100.00000000         100.00000000
10         30         40         100.00000000         100.00000000
12          2         14         100.00000000         100.00000000
12          4         16         100.00000000         100.00000000
12          6         18         100.00000000         100.00000000
12          8         20         100.00000000         100.00000000
12         10         22         100.00000000         100.00000000
12         12         24         100.00000000         100.00000000
12         14         26         100.00000000         100.00000000
12         16         28         100.00000000         100.00000000
12         18         30         100.00000000         100.00000000
12         20         32         100.00000000         100.00000000
12         22         34         100.00000000         100.00000000
12         24         36         100.00000000         100.00000000
12         26         38         100.00000000         100.00000000
12         28         40         100.00000000         100.00000000
12         30         42         100.00000000         100.00000000
12         32         44         100.00000000         100.00000000
12         34         46         100.00000000         100.00000000
12         36         48         100.00000000         100.00000000
14          2         16         100.00000000         100.00000000
14          4         18         100.00000000         100.00000000
14          6         20         100.00000000         100.00000000
14          8         22         100.00000000         100.00000000
14         10         24         100.00000000         100.00000000
14         12         26         100.00000000         100.00000000
14         14         28         100.00000000         100.00000000
14         16         30         100.00000000         100.00000000
14         18         32         100.00000000         100.00000000
14         20         34         100.00000000         100.00000000
14         22         36         100.00000000         100.00000000
14         24         38         100.00000000         100.00000000
14         26         40         100.00000000         100.00000000
14         28         42         100.00000000         100.00000000
14         30         44         100.00000000         100.00000000
14         32         46         100.00000000         100.00000000
14         34         48         100.00000000         100.00000000
14         36         50         100.00000000         100.00000000
16          4         20         100.00000000         100.00000000
16          6         22         100.00000000         100.00000000
16          8         24         100.00000000         100.00000000
16         10         26         100.00000000         100.00000000
16         12         28         100.00000000         100.00000000
16         14         30         100.00000000         100.00000000
16         16         32         100.00000000         100.00000000
16         18         34         100.00000000         100.00000000
16         20         36         100.00000000         100.00000000
16         22         38         100.00000000         100.00000000
16         24         40         100.00000000         100.00000000
16         26         42         100.00000000         100.00000000
16         28         44         100.00000000         100.00000000
16         30         46         100.00000000         100.00000000
16         32         48         100.00000000         100.00000000
16         34         50         100.00000000         100.00000000
16         36         52         100.00000000         100.00000000
16         38         54         100.00000000         100.00000000
18          4         22         100.00000000         100.00000000
18          6         24         100.00000000         100.00000000
18          8         26         100.00000000         100.00000000
18         10         28         100.00000000         100.00000000
18         12         30         100.00000000         100.00000000
18         14         32         100.00000000         100.00000000
18         16         34         100.00000000         100.00000000
18         18         36         100.00000000         100.00000000
18         20         38         100.00000000         100.00000000
18         22         40         100.00000000         100.00000000
18         24         42         100.00000000         100.00000000
18         26         44         100.00000000         100.00000000
18         28         46         100.00000000         100.00000000
18         30         48         100.00000000         100.00000000
18         32         50         100.00000000         100.00000000
18         34         52         100.00000000         100.00000000
18         36         54         100.00000000         100.00000000
18         38         56         100.00000000         100.00000000
18         40         58         100.00000000         100.00000000
18         42         60         100.00000000         100.00000000
20          8         28         100.00000000         100.00000000
20         10         30         100.00000000         100.00000000
20         12         32         100.00000000         100.00000000
20         14         34         100.00000000         100.00000000
20         16         36         100.00000000         100.00000000
20         18         38         100.00000000         100.00000000
20         20         40         100.00000000         100.00000000
20         22         42         100.00000000         100.00000000
20         24         44         100.00000000         100.00000000
20         26         46         100.00000000         100.00000000
20         28         48         100.00000000         100.00000000
20         30         50         100.00000000         100.00000000
20         32         52         100.00000000         100.00000000
20         34         54         100.00000000         100.00000000
20         36         56         100.00000000         100.00000000
20         38         58         100.00000000         100.00000000
20         40         60         100.00000000         100.00000000
20         42         62         100.00000000         100.00000000
20         44         64         100.00000000         100.00000000
20         46         66         100.00000000         100.00000000
22         12         34         100.00000000         100.00000000
22         14         36         100.00000000         100.00000000
22         16         38         100.00000000         100.00000000
22         18         40         100.00000000         100.00000000
22         20         42         100.00000000         100.00000000
22         22         44         100.00000000         100.00000000
22         24         46         100.00000000         100.00000000
22         26         48         100.00000000         100.00000000
