    z	n	A	secondTwoPlusEnergy	err
     2       2       4        28670.00000000           1.00000000 
     2       4       6         5600.00000000           1.00000000 
     4       4       8        16626.00000000           1.00000000 
     6       4      10         6580.00000000           1.00000000 
     4       6      10         5958.39000000           1.00000000 
     6       6      12         9870.00000000           1.00000000 
     8       6      14         7768.00000000           1.00000000 
    10       6      16         6190.00000000           1.00000000 
     4       8      12         4580.00000000           1.00000000 
     6       8      14         8317.90000000           1.00000000 
     8       8      16         9844.50000000           1.00000000 
    10       8      18         3616.40000000           1.00000000 
    12       8      20         3700.00000000           1.00000000 
     6      10      16         6109.00000000           1.00000000 
     8      10      18         3920.44000000           1.00000000 
    10      10      20         7421.90000000           1.00000000 
    12      10      22         4402.00000000           1.00000000 
    14      10      24         3445.00000000           1.00000000 
     6      12      18         2515.00000000           1.00000000 
     8      12      20         4072.00000000           1.00000000 
    10      12      22         4456.20000000           1.00000000 
    12      12      24         4238.35000000           1.00000000 
    14      12      26         2787.05000000           1.00000000 
     8      14      22         6512.00000000           1.00000000 
    10      14      24         3871.20000000           1.00000000 
    12      14      26         2938.33000000           1.00000000 
    14      14      28         7380.59000000           1.00000000 
    16      14      30         3402.60000000           1.00000000 
    18      14      32        24700.00000000           1.00000000 
    10      16      26         3690.80000000           1.00000000 
    12      16      28         4554.60000000           1.00000000 
    14      16      30         3498.49000000           1.00000000 
    16      16      32         4281.80000000           1.00000000 
    18      16      34         3287.70000000           1.00000000 
    12      18      30         2468.40000000           1.00000000 
    14      18      32         4230.80000000           1.00000000 
    16      18      34         3304.21200000           1.00000000 
    18      18      36         4329.10000000           1.00000000 
    20      18      38         3683.90000000           1.00000000 
    12      20      32         2551.00000000           1.00000000 
    14      20      34         5330.40000000           1.00000000 
    16      20      36         4575.20000000           1.00000000 
    18      20      38         3936.50000000           1.00000000 
    20      20      40         5248.79000000           1.00000000 
    22      20      42         2396.10000000           1.00000000 
    16      22      38         2805.10000000           1.00000000 
    18      22      40         2524.09000000           1.00000000 
    20      22      42         2424.15000000           1.00000000 
    22      22      44         2530.90000000           1.00000000 
    26      22      48         2377.00000000           1.00000000 
    18      24      42         2485.90000000           1.00000000 
    20      24      44         1570.00000000           1.00000000 
    22      24      46         2961.80000000           1.00000000 
    24      24      48         3632.20000000           1.00000000 
    14      26      40         1624.00000000           1.00000000 
    16      26      42         2779.00000000           1.00000000 
    18      26      44         1610.00000000           1.00000000 
    20      26      46         3022.60000000           1.00000000 
    22      26      48         2421.05300000           1.00000000 
    24      26      50         2924.60000000           1.00000000 
    26      26      52         2758.80000000           1.00000000 
    16      28      44         2150.00000000           1.00000000 
    20      28      48         6105.00000000           1.00000000 
    22      28      50         3862.81000000           1.00000000 
    24      28      52         2964.78600000           1.00000000 
    26      28      54         2900.00000000           1.00000000 
    28      28      56         5352.50000000           1.00000000 
    30      28      58         2609.00000000           1.00000000 
    18      30      48         2195.00000000           1.00000000 
    20      30      50         3002.10000000           1.00000000 
    22      30      52         2264.49000000           1.00000000 
    24      30      54         2619.68000000           1.00000000 
    26      30      56         2657.58940000           1.00000000 
    28      30      58         2775.42000000           1.00000000 
    30      30      60         2559.00000000           1.00000000 
    22      32      54         2515.80000000           1.00000000 
    24      32      56         1831.65000000           1.00000000 
    26      32      58         1674.73100000           1.00000000 
    28      32      60         2158.63200000           1.00000000 
    30      32      62         1804.67000000           1.00000000 
    32      32      64         1578.70000000           1.00000000 
    18      34      52         2295.00000000           1.00000000 
    26      34      60         2672.90000000           1.00000000 
    28      34      62         2301.84000000           1.00000000 
    30      34      64         1799.41000000           1.00000000 
    32      34      66         1693.19000000           1.00000000 
    34      34      68         1196.70000000           1.00000000 
    26      36      62         2016.98000000           1.00000000 
    28      36      64         2276.58000000           1.00000000 
    30      36      66         1872.76530000           1.00000000 
    32      36      68         1777.42000000           1.00000000 
    34      36      70         1599.90000000           1.00000000 
    26      38      64         1443.60000000           1.00000000 
    28      38      66         2916.00000000           1.00000000 
    30      38      68         1883.20000000           1.00000000 
    32      38      70         1707.68900000           1.00000000 
    34      38      72         1316.68000000           1.00000000 
    36      38      74         1203.20000000           1.00000000 
    28      40      68         2743.82000000           1.00000000 
    30      40      70         1759.16000000           1.00000000 
    32      40      72         1463.99000000           1.00000000 
    34      40      74         1269.01000000           1.00000000 
    36      40      76         1221.72000000           1.00000000 
    28      42      70         1867.44000000           1.00000000 
    30      42      72         1657.30000000           1.00000000 
    32      42      74         1204.20500000           1.00000000 
    34      42      76         1216.15400000           1.00000000 
    36      42      78         1147.90100000           1.00000000 
    38      42      80         1142.13000000           1.00000000 
    30      44      74         1670.25000000           1.00000000 
    32      44      76         1108.41600000           1.00000000 
    34      44      78         1308.64400000           1.00000000 
    36      44      80         1256.24000000           1.00000000 
    38      44      82         1175.71000000           1.00000000 
    40      44      84         1119.31000000           1.00000000 
    42      44      86         1140.90000000           1.00000000 
    30      46      76         2266.46500000           1.00000000 
    32      46      78         1186.51000000           1.00000000 
    34      46      80         1449.35000000           1.00000000 
    36      46      82         1474.90000000           1.00000000 
    38      46      84         1453.93000000           1.00000000 
    40      46      86         1421.77000000           1.00000000 
    42      46      88         1495.04000000           1.00000000 
    28      48      76         2994.70000000           1.00000000 
    32      48      80         1573.56000000           1.00000000 
    34      48      82         1731.51000000           1.00000000 
    36      48      84         1897.78300000           1.00000000 
    38      48      86         1854.22000000           1.00000000 
    40      48      88         1817.86000000           1.00000000 
    42      48      90         1896.53000000           1.00000000 
    32      50      82         2215.43000000           1.00000000 
    34      50      84         2461.38000000           1.00000000 
    36      50      86         2349.47000000           1.00000000 
    38      50      88         3218.48900000           1.00000000 
    40      50      90         3308.10000000           1.00000000 
    42      50      92         3091.35000000           1.00000000 
    34      52      86         1398.94000000           1.00000000 
    36      52      88         1577.43000000           1.00000000 
    38      52      90         1892.36000000           1.00000000 
    40      52      92         1847.27000000           1.00000000 
    42      52      94         1864.31000000           1.00000000 
    44      52      96         1931.07000000           1.00000000 
    46      52      98         1966.02000000           1.00000000 
    48      52     100         1930.00000000           1.00000000 
    36      54      90         1362.25000000           1.00000000 
    38      54      92         1384.79000000           1.00000000 
    40      54      94         1671.41000000           1.00000000 
    42      54      96         1497.78700000           1.00000000 
    44      54      98         1414.36000000           1.00000000 
    46      54     100         1523.60000000           1.00000000 
    34      56      90          964.00000000           1.00000000 
    36      56      92         1446.30000000           1.00000000 
    38      56      94         2271.22000000           1.00000000 
    40      56      96         2225.84600000           1.00000000 
    42      56      98         1432.21000000           1.00000000 
    44      56     100         1362.16600000           1.00000000 
    46      56     102         1534.48000000           1.00000000 
    38      58      96         1506.84000000           1.00000000 
    40      58      98         1590.78000000           1.00000000 
    42      58     100         1063.82000000           1.00000000 
    44      58     102         1103.04700000           1.00000000 
    46      58     104         1341.68000000           1.00000000 
    48      58     106         1716.53000000           1.00000000 
    50      58     108         2155.13000000           1.00000000 
    52      58     110         1578.30000000           1.00000000 
    38      60      98          871.34000000           1.00000000 
    40      60     100          878.72000000           1.00000000 
    42      60     102          847.89000000           1.00000000 
    44      60     104          893.10000000           1.00000000 
    46      60     106         1128.02000000           1.00000000 
    48      60     108         1601.83300000           1.00000000 
    50      60     110         2121.04000000           1.00000000 
    52      60     112         1483.60000000           1.00000000 
    54      60     114         1148.70000000           1.00000000 
    36      62      98          545.00000000           1.00000000 
    38      62     100         1257.05000000           1.00000000 
    40      62     102         1036.30000000           1.00000000 
    42      62     104          812.36000000           1.00000000 
    44      62     106          792.31000000           1.00000000 
    46      62     108          931.15000000           1.00000000 
    48      62     110         1475.79000000           1.00000000 
    50      62     112         2150.87000000           1.00000000 
    52      62     114         1342.49000000           1.00000000 
    54      62     116         1015.80000000           1.00000000 
    42      64     106          710.48000000           1.00000000 
    44      64     108          707.83000000           1.00000000 
    46      64     110          813.59000000           1.00000000 
    48      64     112         1312.39000000           1.00000000 
    50      64     114         2238.95300000           1.00000000 
    52      64     116         1219.10000000           1.00000000 
    54      64     118          928.10000000           1.00000000 
    40      66     106          607.00000000           1.00000000 
    42      66     108          586.01000000           1.00000000 
    44      66     110          612.86000000           1.00000000 
    46      66     112          736.72000000           1.00000000 
    48      66     114         1209.70800000           1.00000000 
    50      66     116         2112.32300000           1.00000000 
    52      66     118         1150.82000000           1.00000000 
    54      66     120          876.10000000           1.00000000 
    56      66     122          618.20000000           1.00000000 
    40      68     108          604.10000000           1.00000000 
    42      68     110          494.21000000           1.00000000 
    44      68     112          523.51000000           1.00000000 
    46      68     114          694.62000000           1.00000000 
    48      68     116         1212.99700000           1.00000000 
    50      68     118         2042.88200000           1.00000000 
    52      68     120         1201.27000000           1.00000000 
    54      68     122          843.13000000           1.00000000 
    56      68     124          873.20000000           1.00000000 
    58      68     126          954.40000000           1.00000000 
    44      70     114          563.31000000           1.00000000 
    46      70     116          737.84000000           1.00000000 
    48      70     118         1269.55000000           1.00000000 
    50      70     120         2097.20500000           1.00000000 
    52      70     122         1256.95300000           1.00000000 
    54      70     124          846.50000000           1.00000000 
    56      70     126          873.57000000           1.00000000 
    58      70     128          869.40000000           1.00000000 
    44      72     116          614.30000000           1.00000000 
    46      72     118          812.60000000           1.00000000 
    48      72     120         1323.07000000           1.00000000 
    50      72     122         2153.81000000           1.00000000 
    52      72     124         1325.51310000           1.00000000 
    54      72     126          879.87200000           1.00000000 
    56      72     128          884.50000000           1.00000000 
